Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,San Antonio Spurs,W,M,37,13,.740,8.06,105.08,95.90,9.19,7.12,103.97,95.84,8.13
2,Utah Jazz,W,M,37,13,.740,6.52,106.47,99.06,7.41,5.54,105.27,98.96,6.31
3,Portland Trail Blazers,W,P,35,15,.700,6.36,105.54,98.50,7.03,5.67,104.49,98.24,6.26
4,Miami Heat,E,A,33,17,.660,4.96,105.76,99.91,5.85,5.11,106.23,100.23,6.00
5,Detroit Pistons,E,C,29,21,.580,3.42,105.28,101.14,4.14,3.97,106.21,101.48,4.74
6,Indiana Pacers,E,C,33,17,.660,3.74,109.68,105.34,4.34,3.86,110.56,106.10,4.47
7,Orlando Magic,E,A,33,17,.660,2.60,100.84,98.00,2.84,3.11,101.48,98.06,3.42
8,Atlanta Hawks,E,C,31,19,.620,2.90,101.41,98.09,3.32,2.82,101.55,98.33,3.23
9,Philadelphia 76ers,E,A,28,22,.560,2.06,100.91,98.67,2.24,2.56,101.52,98.73,2.79
10,Los Angeles Lakers,W,P,31,19,.620,3.02,108.16,105.02,3.15,2.67,107.69,104.91,2.78
11,Phoenix Suns,W,P,27,23,.540,2.26,106.88,104.09,2.78,2.15,106.50,103.85,2.65
12,Milwaukee Bucks,E,C,28,22,.560,1.66,105.72,103.98,1.74,1.66,106.30,104.56,1.74
13,New York Knicks,E,A,27,23,.540,1.02,99.41,98.30,1.11,1.45,99.81,98.22,1.60
14,Houston Rockets,W,M,31,19,.620,2.32,106.13,103.61,2.52,1.39,105.12,103.62,1.50
15,Charlotte Hornets,E,C,26,24,.520,-0.10,102.99,103.12,-0.13,0.63,103.96,103.28,0.68
16,Minnesota Timberwolves,W,M,25,25,.500,0.38,102.58,102.08,0.50,-0.17,101.76,101.88,-0.12
17,Sacramento Kings,W,P,27,23,.540,-0.42,103.24,103.80,-0.56,-0.89,102.64,103.72,-1.08
18,Cleveland Cavaliers,E,C,22,28,.440,-1.72,100.56,102.74,-2.18,-0.94,101.42,102.73,-1.30
19,Seattle SuperSonics,W,P,25,25,.500,-1.08,106.00,107.20,-1.21,-1.43,105.48,107.08,-1.60
20,Toronto Raptors,E,C,23,27,.460,-1.64,102.92,104.91,-1.98,-1.31,103.64,105.26,-1.62
21,Washington Wizards,E,A,18,32,.360,-2.24,102.09,104.58,-2.50,-1.75,102.84,104.80,-1.96
22,Boston Celtics,E,A,19,31,.380,-1.86,101.21,103.55,-2.34,-1.75,101.67,103.88,-2.21
23,Dallas Mavericks,W,M,19,31,.380,-2.40,103.29,105.94,-2.66,-2.50,103.09,105.84,-2.75
24,Golden State Warriors,W,P,21,29,.420,-2.50,99.25,102.10,-2.86,-2.63,98.37,101.37,-3.00
25,New Jersey Nets,E,A,16,34,.320,-3.78,100.39,104.52,-4.13,-3.20,100.85,104.33,-3.49
26,Denver Nuggets,W,M,14,36,.280,-6.60,103.74,111.19,-7.45,-6.67,103.33,110.85,-7.52
27,Chicago Bulls,E,C,13,37,.260,-9.46,93.36,103.96,-10.60,-8.58,94.04,103.65,-9.61
28,Los Angeles Clippers,W,P,9,41,.180,-8.82,100.95,110.78,-9.83,-8.94,100.70,110.68,-9.98
29,Vancouver Grizzlies,W,M,8,42,.160,-8.66,99.16,108.90,-9.73,-8.94,98.49,108.53,-10.04
