
Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,San Antonio Spurs,W,SW,63,19,.768,6.82,108.02,100.32,7.70,6.69,107.93,100.38,7.54
2,Detroit Pistons,E,C,64,18,.780,6.67,111.59,103.90,7.69,6.23,111.35,104.15,7.20
3,Dallas Mavericks,W,SW,60,22,.732,6.07,112.87,105.73,7.14,5.96,113.06,106.07,6.99
4,Phoenix Suns,W,P,54,28,.659,5.55,112.27,106.45,5.82,5.48,112.32,106.58,5.74
5,Memphis Grizzlies,W,SW,49,33,.598,3.70,107.11,102.69,4.42,3.74,107.10,102.66,4.44
6,Miami Heat,E,SE,52,30,.634,3.87,109.53,105.34,4.19,3.59,109.28,105.38,3.90
7,Los Angeles Lakers,W,P,45,37,.549,2.50,109.26,106.59,2.67,2.53,109.46,106.77,2.69
8,Cleveland Cavaliers,E,C,50,32,.610,2.23,108.49,106.01,2.48,2.17,108.49,106.07,2.42
9,Los Angeles Clippers,W,P,47,35,.573,1.57,106.09,104.24,1.85,1.75,106.11,104.08,2.03
10,Indiana Pacers,E,C,41,41,.500,1.89,105.30,103.00,2.30,1.62,104.91,102.90,2.01
11,Washington Wizards,E,SE,42,40,.512,1.85,110.01,107.93,2.08,1.56,109.91,108.14,1.76
12,Sacramento Kings,W,P,44,38,.537,1.54,107.45,105.80,1.65,1.61,107.51,105.80,1.72
13,New Jersey Nets,E,A,49,33,.598,1.37,104.66,103.24,1.42,1.11,104.24,103.10,1.15
14,Chicago Bulls,E,C,41,41,.500,0.63,104.64,103.99,0.64,0.51,104.38,103.85,0.52
15,Denver Nuggets,W,NW,44,38,.537,0.23,106.16,106.01,0.15,0.36,106.22,105.94,0.28
16,Golden State Warriors,W,P,34,48,.415,-1.35,105.36,106.79,-1.44,-1.11,105.55,106.74,-1.18
17,Milwaukee Bucks,E,C,40,42,.488,-1.04,106.81,107.98,-1.17,-1.07,106.80,108.00,-1.20
18,Orlando Magic,E,SE,36,46,.439,-1.07,106.99,108.25,-1.26,-1.26,106.84,108.29,-1.45
19,Houston Rockets,W,SW,34,48,.415,-1.59,102.41,104.42,-2.02,-1.31,102.50,104.20,-1.70
20,Boston Celtics,E,A,33,49,.402,-1.54,106.12,107.86,-1.73,-1.59,106.05,107.83,-1.78
21,Minnesota Timberwolves,W,NW,33,49,.402,-1.88,103.52,105.65,-2.13,-1.75,103.59,105.58,-1.99
22,Philadelphia 76ers,E,A,38,44,.463,-1.95,106.89,109.00,-2.10,-2.11,106.79,109.06,-2.27
23,Utah Jazz,W,NW,41,41,.500,-2.63,104.93,107.90,-2.96,-2.49,104.98,107.79,-2.81
24,New Orleans/Oklahoma City Hornets,W,SW,38,44,.463,-2.82,104.50,107.77,-3.27,-2.51,104.62,107.56,-2.94
25,Toronto Raptors,E,A,27,55,.329,-2.99,110.22,113.34,-3.12,-3.03,110.40,113.57,-3.17
26,Seattle SuperSonics,W,NW,35,47,.427,-3.02,111.99,115.45,-3.45,-2.88,112.49,115.79,-3.31
27,Charlotte Bobcats,E,SE,26,56,.317,-4.00,103.14,107.48,-4.33,-3.90,103.06,107.27,-4.21
28,Atlanta Hawks,E,SE,26,56,.317,-4.76,107.20,112.46,-5.26,-4.69,107.29,112.47,-5.17
29,New York Knicks,E,A,23,59,.280,-6.40,104.74,111.87,-7.14,-6.30,104.74,111.74,-7.00
30,Portland Trail Blazers,W,NW,21,61,.256,-9.45,102.06,112.87,-10.81,-8.91,102.35,112.56,-10.21
