1,Sacramento Kings,W,P,61,21,.744,7.61,109.70,101.62,8.08,7.61,109.48,101.37,8.12
2,Los Angeles Lakers,W,P,58,24,.707,7.12,110.29,102.52,7.77,7.15,110.12,102.30,7.82
3,San Antonio Spurs,W,M,58,24,.707,6.21,107.35,100.38,6.97,6.27,107.06,100.01,7.05
4,Dallas Mavericks,W,M,57,25,.695,4.26,112.80,108.22,4.59,4.41,112.91,108.13,4.78
5,Minnesota Timberwolves,W,M,50,32,.610,3.38,109.79,105.97,3.82,3.58,109.78,105.73,4.05
6,New Jersey Nets,E,A,52,30,.634,4.16,104.78,100.28,4.50,3.67,104.65,100.71,3.94
7,Seattle SuperSonics,W,P,45,37,.549,3.02,109.77,106.30,3.47,3.24,109.78,106.06,3.72
8,Portland Trail Blazers,W,P,49,33,.598,2.99,108.20,104.84,3.36,3.20,108.13,104.52,3.61
9,Boston Celtics,E,A,49,33,.598,2.21,104.10,101.70,2.40,1.74,103.95,102.08,1.87
10,Detroit Pistons,E,C,50,32,.610,2.13,105.77,103.43,2.33,1.69,105.63,103.80,1.83
11,Utah Jazz,W,M,44,38,.537,0.89,106.57,105.33,1.25,1.20,106.52,104.93,1.60
12,Philadelphia 76ers,E,A,43,39,.524,1.60,103.12,101.42,1.70,1.27,103.02,101.69,1.33
13,Orlando Magic,E,A,44,38,.537,1.57,107.71,106.04,1.67,1.25,107.88,106.58,1.30
14,Charlotte Hornets,E,C,44,38,.537,0.96,105.13,104.06,1.07,0.57,105.02,104.40,0.62
15,Indiana Pacers,E,C,42,40,.512,0.27,105.09,104.59,0.50,-0.07,105.08,104.98,0.10
16,Los Angeles Clippers,W,P,39,43,.476,-0.46,106.49,106.87,-0.38,-0.09,106.51,106.47,0.05
17,Phoenix Suns,W,P,36,46,.439,-0.68,104.07,104.71,-0.64,-0.30,103.98,104.19,-0.21
18,Milwaukee Bucks,E,C,41,41,.500,-0.22,107.78,108.00,-0.22,-0.62,107.93,108.60,-0.68
19,Toronto Raptors,E,C,42,40,.512,-0.44,103.37,104.04,-0.67,-0.71,103.39,104.37,-0.98
20,Washington Wizards,E,A,37,45,.451,-1.40,105.67,107.16,-1.49,-1.58,105.92,107.62,-1.70
21,Miami Heat,E,A,36,46,.439,-1.54,99.28,101.15,-1.88,-1.85,99.08,101.31,-2.22
22,Cleveland Cavaliers,E,C,29,53,.354,-3.33,105.41,109.17,-3.76,-3.53,105.63,109.62,-3.99
23,New York Knicks,E,A,30,52,.366,-3.99,102.02,106.38,-4.36,-4.15,102.10,106.66,-4.56
24,Atlanta Hawks,E,C,33,49,.402,-4.23,102.72,107.40,-4.68,-4.41,102.83,107.73,-4.90
25,Houston Rockets,W,M,28,54,.341,-4.89,103.93,109.55,-5.62,-4.31,104.08,109.03,-4.95
26,Golden State Warriors,W,P,21,61,.256,-5.40,103.56,109.28,-5.71,-4.80,103.70,108.74,-5.04
27,Denver Nuggets,W,M,27,55,.329,-5.82,102.34,108.68,-6.35,-5.19,102.44,108.08,-5.64
28,Memphis Grizzlies,W,M,23,59,.280,-7.44,98.90,107.09,-8.19,-6.74,98.92,106.32,-7.40
29,Chicago Bulls,E,C,21,61,.256,-8.54,99.05,108.56,-9.51,-8.52,99.21,108.72,-9.50
