Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,San Antonio Spurs,W,SW,58,24,.707,8.43,110.11,100.64,9.47,8.35,109.84,100.47,9.37
2,Dallas Mavericks,W,SW,67,15,.817,7.22,112.32,104.12,8.20,7.28,112.23,103.98,8.25
3,Phoenix Suns,W,P,61,21,.744,7.30,114.68,106.90,7.78,7.27,114.66,106.90,7.76
4,Houston Rockets,W,SW,52,30,.634,4.85,106.64,101.31,5.33,5.04,106.43,100.90,5.53
5,Chicago Bulls,E,C,49,33,.598,5.01,105.71,100.32,5.39,4.52,105.36,100.50,4.86
6,Detroit Pistons,E,C,53,29,.646,4.16,109.80,104.87,4.93,3.68,109.72,105.33,4.39
7,Cleveland Cavaliers,E,C,50,32,.610,3.83,106.15,102.10,4.05,3.33,105.92,102.41,3.52
8,Utah Jazz,W,NW,51,31,.622,2.87,110.65,107.40,3.25,3.06,110.70,107.24,3.45
9,Denver Nuggets,W,NW,45,37,.549,1.62,108.12,106.51,1.62,1.69,107.95,106.24,1.70
10,Toronto Raptors,E,A,47,35,.573,0.99,107.92,106.56,1.36,0.61,107.84,106.91,0.93
11,Orlando Magic,E,SE,40,42,.488,0.78,105.99,105.03,0.96,0.34,105.76,105.28,0.48
12,Los Angeles Lakers,W,P,42,40,.512,-0.07,109.09,109.28,-0.19,0.24,109.18,109.02,0.16
13,Golden State Warriors,W,P,42,40,.512,-0.34,107.62,107.84,-0.22,-0.01,107.61,107.48,0.14
14,Los Angeles Clippers,W,P,40,42,.488,-0.46,105.90,106.55,-0.65,-0.07,105.91,106.14,-0.22
15,Washington Wizards,E,SE,41,41,.500,-0.51,110.57,111.28,-0.71,-0.80,110.70,111.71,-1.01
16,New Jersey Nets,E,A,41,41,.500,-0.77,106.45,107.43,-0.97,-1.00,106.49,107.70,-1.22
17,Sacramento Kings,W,P,33,49,.402,-1.80,106.79,108.59,-1.80,-1.35,106.92,108.23,-1.31
18,New Orleans/Oklahoma City Hornets,W,SW,39,43,.476,-1.57,105.68,107.51,-1.83,-1.20,105.78,107.19,-1.41
19,Miami Heat,E,SE,44,38,.537,-0.91,105.25,106.36,-1.12,-1.21,105.23,106.67,-1.44
20,Indiana Pacers,E,C,35,47,.427,-2.44,103.70,106.21,-2.51,-2.62,103.72,106.44,-2.72
21,Seattle SuperSonics,W,NW,31,51,.378,-2.89,108.21,111.52,-3.31,-2.45,108.45,111.27,-2.82
22,New York Knicks,E,A,33,49,.402,-2.85,106.39,109.53,-3.14,-3.06,106.45,109.82,-3.38
23,Minnesota Timberwolves,W,NW,32,50,.390,-3.67,104.58,108.64,-4.06,-3.16,104.64,108.15,-3.51
24,Philadelphia 76ers,E,A,35,47,.427,-3.02,104.42,107.77,-3.35,-3.26,104.43,108.04,-3.61
25,Boston Celtics,E,A,24,58,.293,-3.41,104.07,107.96,-3.89,-3.71,103.98,108.18,-4.19
26,Portland Trail Blazers,W,NW,32,50,.390,-4.29,105.94,110.79,-4.85,-3.78,106.13,110.42,-4.29
27,Charlotte Bobcats,E,SE,33,49,.402,-3.74,104.29,108.34,-4.04,-3.97,104.23,108.52,-4.30
28,Milwaukee Bucks,E,C,28,54,.341,-4.38,107.63,112.34,-4.71,-4.44,107.89,112.66,-4.77
29,Memphis Grizzlies,W,SW,22,60,.268,-5.15,107.37,112.95,-5.58,-4.44,107.74,112.54,-4.81
30,Atlanta Hawks,E,SE,30,52,.366,-4.76,103.83,109.24,-5.41,-4.86,103.98,109.50,-5.52
